Resource ID,Latitude,Longitude,Street,City,State,Zip Code,Historic Name,Current Name,Extant,Neighborhood,Planning District,Inventory,Construction Start Year,Construction End Year,Construction Date Precision,Original Architect,Philadelphia Register Individual Designation Year,National Register Individual Designation Year,National Historic Landmark Individual Designation Year,Philadelphia Register Historic District,Photo URL,Resource URL
29,39.99643162,-75.11475276,826 E Allegheny Ave,Philadelphia,PA,19134,Beneficial Savings Bank (Kensington Branch),,,Upper Kensington,North,African American Historic Site,,1923,circa,"Horace Trumbauer, Julian Abele",,,,,,http://www.preservephiladelphia.org/historic-resources/29
30,39.946422,-75.147288,Willings Alley,Philadelphia,PA,19106,Quaker African School House,Benezet's School,,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/30
31,39.94433108,-75.15975107,409 S 11th St,Philadelphia,PA,19147,Benjamin Banneker Institute,,,Washington Square West,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/31
33,39.96305133,-75.19868705,3838 Haverford Ave,Philadelphia,PA,19104,Berean Baptist Church #1,,,Mantua,West,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/33
34,40.00081192,-75.1704415,2425 W Indiana Ave,Philadelphia,PA,19132,Berean Baptist Church #2,,,Allegheny West,North,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/34
35,39.95834045,-75.22617966,5228 Chestnut St,Philadelphia,PA,19139,Berean Building and Loan Association,,Yes,Cobbs Creek,West,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/35
36,39.98484039,-75.15603352,2101 N Broad St,Philadelphia,PA,19122,Bethlehem Presbyterian Church,Berean Presbyterian Church,Yes,Hartranft,Lower North,"Historic Religious Sites, African American Historic Site",,1888,,"Theophilus P. Chandler, Jr.",,,,,http://pagp.webfactional.com/static/media/photos/Berean.jpg,http://www.preservephiladelphia.org/historic-resources/36
37,39.972927,-75.16802788,1901-45 S College Ave,Philadelphia,PA,19121,Berean Institute,,Yes,Francisville,Lower North,"African American Historic Site, Mid-Century Modern Architectural Resources",,1884,,,1971,,,,,http://www.preservephiladelphia.org/historic-resources/37
38,39.944336,-75.178695,22nd St and Bainbridge St,Philadelphia,PA,19146,Bessie Calhoun Bird House,,,Graduate Hospital,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/38
39,39.939854,-75.164808,1319 Christian St,Philadelphia,PA,19147,Bessie Smith House,,,Hawthorne,South,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/39
41,40.0422985,-75.17083606,460 E Rittenhouse St,Philadelphia,PA,19144,Mt. Vernon Baptist Church,Bethel A.M.E. Church (Germantown) Building #1,Yes,"Germantown, Morton",Upper Northwest,African American Historic Site,,1893,,,,,,,http://pagp.webfactional.com/static/media/photos/460ERittenhouseSt.jpg,http://www.preservephiladelphia.org/historic-resources/41
42,40.04213995,-75.17959446,6153 Germantown Ave,Philadelphia,PA,19144,Bethel A.M.E. Church (Germantown) Building #2,,Yes,"Germantown, Morton",Upper Northwest,African American Historic Site,,1976,circa,Walter R. Livingston,,,,,http://pagp.webfactional.com/static/media/photos/6153GermantownAve.jpg,http://www.preservephiladelphia.org/historic-resources/42
43,39.96292333,-75.20420326,4033-37 Haverford Ave,Philadelphia,PA,19104,Bethel Baptist Church,United House of Prayer for All People,Yes,Haverford North,West,"Historic Religious Sites, African American Historic Site",,1924,circa,Clarence Caspary,,,,,,http://www.preservephiladelphia.org/historic-resources/43
44,39.943025,-75.152116,Near 06th St and Lombard St,Philadelphia,PA,19147,Bethel Home for Fallen Women,,,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/44
45,39.942311,-75.161976,Bainbridge St near 12th St; 12th St and Fitzwater St,Philadelphia,PA,19147,Bethsaida A.M.E. Zion Church,,,Hawthorne,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/45
46,39.95264485,-75.22537534,5100 Pine St,Philadelphia,PA,19143,Malcolm X Memorial Park,Black Oak Park,Yes,Garden Court,West,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/46
47,39.97965098,-75.16685127,1928 Cecil B Moore Ave,Philadelphia,PA,19121,Black Panthers Headquarters,,,North Central,Lower North,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/47
48,39.91893648,-75.16428203,2431 S Alder St,Philadelphia,PA,19148,Bright Hope Baptist Church,,,Lower Moyamensing,South,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/48
49,39.9444046,-75.16593039,500 S Broad St,Philadelphia,PA,19146,Stage Door Canteen,Broad Street USO,,Rittenhouse,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/49
50,39.944683,-75.165068,Broad St and Lombard St,Philadelphia,PA,19147,Brown and Stevens Bank,,,Washington Square West,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/50
51,40.04669129,-75.19255069,6700 Lincoln Dr,Philadelphia,PA,19119,C. Delores Tucker House,,Yes,"Mount Airy, West",Upper Northwest,African American Historic Site,,,,,,,,,http://pagp.webfactional.com/static/media/photos/6700LincolnDr.jpg,http://www.preservephiladelphia.org/historic-resources/51
52,39.94400262,-75.16104875,1130 Lombard St,Philadelphia,PA,19147,"C. Henry Wilson, II Office",,No,Washington Square West,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/52
53,39.943025,-75.152116,06th St and Lombard St,Philadelphia,PA,19147,California House,,No,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/53
54,39.887319,-75.242413,8600-04 Erwig Ave,Philadelphia,PA,19153,Calvary Baptist Church site,,No,Eastwick,Lower Southwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/54
55,40.01326085,-75.08468707,1651-61 Kinsey St,Philadelphia,PA,19124,African Methodist Episcopal Church of Frankford,Campbell African Methodist Episcopal Church,Yes,Frankford,Lower Northeast,"African American Historic Site, Historic Religious Sites",,1870,,,1982,,,,,http://www.preservephiladelphia.org/historic-resources/55
56,40.02843201,-75.17765147,5430 Pulaski Ave,Philadelphia,PA,19144,West Side Presbyterian Church,Canaan Baptist Church,Yes,"Germantown, Westside",Upper Northwest,"African American Historic Site, Historic Religious Sites",,1891,,"Mantle Fielding, Jr.",,,,,http://pagp.webfactional.com/static/media/photos/5430PulaskiAve.jpg,http://www.preservephiladelphia.org/historic-resources/56
57,40.044792,-75.170242,524 E Haines St,Philadelphia,PA,19144,Canaan Baptist Church Site,,,"Germantown, Morton",Upper Northwest,African American Historic Site,,,,,,,,,http://pagp.webfactional.com/static/media/photos/524EHainesSt.jpg,http://www.preservephiladelphia.org/historic-resources/57
58,39.94637281,-75.17774217,2127-39 Lombard St,Philadelphia,PA,19146,Central Baptist Church,New Central Baptist Church,Yes,Rittenhouse,Central,"African American Historic Site, Historic Religious Sites",,1922,,J. Erle Druckenmiller & Williams,,,,Rittenhouse-Fitler,,http://www.preservephiladelphia.org/historic-resources/58
59,39.946968,-75.17937,409 S 23rd St,Philadelphia,PA,19146,Pitman M.E. Church Building Site,Central Baptist Church Building,No,Rittenhouse,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/59
60,39.94339159,-75.15644326,832-36 Lombard St,Philadelphia,PA,19147,Lombard Street Central Presbyterian Church,Central Presbyterian Church,Yes,Washington Square West,Central,"African American Historic Site, Historic Religious Sites",,1848,,William L. Johnston,1963,,,,http://pagp.webfactional.com/static/media/photos/832-36LombardSt.jpg,http://www.preservephiladelphia.org/historic-resources/60
61,39.94919508,-75.17337274,222 W Rittenhouse Sq,Philadelphia,PA,19103,Chateau Crillon Apartment Building,,Yes,Rittenhouse,Central,African American Historic Site,,1928,,"Horace Trumbauer, Julian Abele",1982,1978,,Rittenhouse-Fitler,,http://www.preservephiladelphia.org/historic-resources/61
62,39.95076094,-75.1439631,20 N American St,Philadelphia,PA,19106,Christ Church in Philadelphia,,Yes,Old City,Central,"African American Historic Site, Historic Religious Sites",1727,1754,,John Kearsley,1956,,1970,Old City,,http://www.preservephiladelphia.org/historic-resources/62
63,39.94051255,-75.17218977,1724 Christian St,Philadelphia,PA,19146,Christian Street YMCA,,Yes,Graduate Hospital,Central,African American Historic Site,,1914,circa,,,,,,http://pagp.webfactional.com/static/media/photos/1724ChristianSt.jpg,http://www.preservephiladelphia.org/historic-resources/63
64,39.9418,-75.165847,Fitzwater St near Broad St,Philadelphia,PA,19147,Church of God and Saints of Christ,,,Hawthorne,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/64
65,39.98599991,-75.16327276,1801 Diamond St,Philadelphia,PA,19121,George W. South Memorial Protestant Episcopal Church of the Advocate,George W. South Memorial Church of the Advocate,Yes,Stanton,Lower North,"Historic Religious Sites, African American Historic Site",,1891,,Charles M. Burns,1980,,1979,Diamond Street,,http://www.preservephiladelphia.org/historic-resources/65
66,39.94179822,-75.1558154,620 S 08th St,Philadelphia,PA,19147,Church of the Crucifixion Building and Parish House,,Yes,Bella Vista,Central,African American Historic Site,,1883,,Pursell & Fry,,,,,http://pagp.webfactional.com/static/media/photos/620S08thSt.jpg,http://www.preservephiladelphia.org/historic-resources/66
67,39.94408746,-75.17831694,701 S 22nd St,Philadelphia,PA,19146,Church of the Lord Jesus Christ of the Apostolic Faith,,Yes,Graduate Hospital,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/67
68,39.94103452,-75.16650044,764-72 S Broad St,Philadelphia,PA,19146,Divine Enterprises Headquarters,Circle Mission Church,Yes,Graduate Hospital,Central,African American Historic Site,,1897,circa,,,,,,,http://www.preservephiladelphia.org/historic-resources/68
69,39.944481,-75.172133,1849 South St,Philadelphia,PA,19146,Citizens and Southern Bank,,No,Rittenhouse,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/69
70,39.94498053,-75.16710627,422 S 15th St,Philadelphia,PA,19146,Citizens Republican Club,,,Rittenhouse,Central,African American Historic Site,,,,,,,,Rittenhouse-Fitler,,http://www.preservephiladelphia.org/historic-resources/70
71,39.975102,-75.195011,34th St and Girard St,Philadelphia,PA,19104,Clanerda Presbyterian Church,,,West Park,West Park,African American Historic Site,,1912,circa,"Horace Trumbauer, Julian Abele",,,,,,http://www.preservephiladelphia.org/historic-resources/71
72,39.903557,-75.247262,79th St and Eastwick Ave,Philadelphia,PA,19153,Clearview A.M.E. Church,,,Eastwick,Lower Southwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/72
73,39.94201319,-75.16630356,738 S Broad St,Philadelphia,PA,19146,Clef Club of Philadelphia,,Yes,Graduate Hospital,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/73
74,40.04728794,-75.18163133,6401 Germantown Ave,Philadelphia,PA,19119,Cliveden,,Yes,"Mount Airy, East",Upper Northwest,African American Historic Site,1763,1764,,,1956,,1961,,http://pagp.webfactional.com/static/media/photos/6401GermantownAve.jpg,http://www.preservephiladelphia.org/historic-resources/74
75,39.942743,-75.152895,617 Rodman St,Philadelphia,PA,19147,W. E. B. DuBois House,College Settlement,No,Society Hill,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/75
76,39.950574,-75.173643,20th St below Walnut St,Philadelphia,PA,19103,Colored Industrial School,,,Rittenhouse,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/76
77,40.02671166,-75.17674239,328 W Coulter St,Philadelphia,PA,19144,Daniel L. Keyser School / Wissahickon Boys and Girl,Coulter Street School site,Yes,"Germantown, Westside",Upper Northwest,African American Historic Site,1887,1899,circa,Joseph Anshutz,,,,,http://pagp.webfactional.com/static/media/photos/328WCoulterSt.jpg,http://www.preservephiladelphia.org/historic-resources/77
78,39.96533693,-75.22788312,5403 Vine St,Philadelphia,PA,19139,Crystal Bird Fauset House,,Yes,Haddington,West,"Pride of Place Neighborhood Landmarks, African American Historic Site",,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/78
79,39.9518777,-75.14369868,210 Arch St,Philadelphia,PA,19106,Cyrus Bustill Business,,No,Old City,Central,African American Historic Site,,,,,,,,Old City,,http://www.preservephiladelphia.org/historic-resources/79
80,39.961298,-75.143239,Near 03rd St and Green St,Philadelphia,PA,19123,Cyrus Bustill House,,,Northern Liberties,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/80
81,39.9648342,-75.14395914,841 N 04th St,Philadelphia,PA,19123,David Bustill Bowser House,,No,Northern Liberties,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/81
82,39.94002287,-75.1799151,1026 S 22nd St,Philadelphia,PA,19146,Davis Chapel Building,,,Graduate Hospital,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/82
83,39.993189,-75.106902,Collins St and E Westmoreland St,Philadelphia,PA,19134,Disney A.M.E. Church,,,Harrowgate,River Wards,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/83
84,39.96669935,-75.16001685,699 N Broad St,Philadelphia,PA,19123,Divine Lorraine Hotel,,Yes,West Poplar,Central,African American Historic Site,,1894,,Willis G. Hale,2005,2002,,,http://pagp.webfactional.com/static/media/photos/DSC_8150.JPG,http://www.preservephiladelphia.org/historic-resources/84
85,39.9552328,-75.19463887,20 S 36th St,Philadelphia,PA,19104,Divine Tracy Hotel,,Yes,University City,University/Southwest,African American Historic Site,,1920,circa decade,,,,,,,http://www.preservephiladelphia.org/historic-resources/85
86,39.94490217,-75.16580216,1409-11 Lombard St,Philadelphia,PA,19146,Douglass Hotel (Billie Holiday Residence),,Yes,Rittenhouse,Central,African American Historic Site,,1926,,,,,,Rittenhouse-Fitler,http://pagp.webfactional.com/static/media/photos/1409-11LombardSt.jpg,http://www.preservephiladelphia.org/historic-resources/86
87,40.04205313,-75.180237,6200 Germantown Ave,Philadelphia,PA,19144,Douglass House Site,,No,"Germantown, West Central",Upper Northwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/87
88,40.03871317,-75.17879653,31 W Harvey St,Philadelphia,PA,19144,Dr. William H. Warrick House and Office,,,"Germantown, West Central",Upper Northwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/88
89,39.944667,-75.165363,Broad St and Lombard St,Philadelphia,PA,19146,Lincoln Theater,Dunbar Theater,No,Rittenhouse,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/89
90,39.9448979,-75.16917496,1600 Lombard St,Philadelphia,PA,19146,Independent Charter School,Durham Public School,Yes,Rittenhouse,Central,African American Historic Site,1909,1910,,Henry deCourcy Richards,,1987,,,,http://www.preservephiladelphia.org/historic-resources/90
91,39.95139239,-75.17062019,108 S 18th St,Philadelphia,PA,19103,Dutrieuille Catering,,,Rittenhouse,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/91
92,39.96183909,-75.20241513,4001 Spring Garden St,Philadelphia,PA,19104,Dutrieuille Catering Site #2,,,West Powelton,University/Southwest,African American Historic Site,,1888,circa,A. Wade,,,,,,http://www.preservephiladelphia.org/historic-resources/92
93,39.951723,-75.15828,11th St and Market St,Philadelphia,PA,19107,Earle Theater,,No,Center City East,Central,African American Historic Site,1921,1924,,Hoffman & Henon,,,,,,http://www.preservephiladelphia.org/historic-resources/93
94,39.9867969,-75.14878628,2259 N 10th St,Philadelphia,PA,19133,Ebenezer Baptist Church Building,,Yes,Hartranft,Lower North,African American Historic Site,,1904,,Isaac Pursell,,,,,,http://www.preservephiladelphia.org/historic-resources/94
95,39.96372593,-75.15989542,1330 Mt Vernon St,Philadelphia,PA,19123,Ebenezer Baptist Church Site #1,,No,West Poplar,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/95
96,39.97263273,-75.1557429,1248 N 12th St,Philadelphia,PA,19122,Ebenezer Baptist Church Site #2,,No,Yorktown,Lower North,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/96
97,39.98831619,-75.18022508,2121 N 29th St,Philadelphia,PA,19121,Ebenezer Don Carlos Bassett House,,No,Strawberry Mansion,Lower North,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/97
98,39.9192,-75.166479,Moyamensing Ave near Sartain St,Philadelphia,PA,19148,Eden Baptist Church,,,Lower Moyamensing,South,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/98
100,39.930004,-75.164682,Tasker St above 12th St,Philadelphia,PA,19147,Eliza Turner,,,Passyunk Square,South,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/100
101,39.943244,-75.15874,1013 Rodman St,Philadelphia,PA,19147,Elizabeth Taylor Greenfield Studio,,No,Washington Square West,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/101
102,39.94203392,-75.16889603,739-43 S 16th St,Philadelphia,PA,19146,Elks Lodge,,No,Graduate Hospital,Central,African American Historic Site,,1928,circa,C. Adams,,,,,,http://www.preservephiladelphia.org/historic-resources/102
103,39.890591,-75.247239,86th St and Eastwick Pl,Philadelphia,PA,19153,St. Paul A.M.E. Church site,Elmwood Mission Church,No,Eastwick,Lower Southwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/103
104,39.99132012,-75.17247115,2416-18 W York St,Philadelphia,PA,19132,Temple A.M.E. Church / Trinity A.M.E. Church,Emmanuel A.M.E. Church,No,Strawberry Mansion,Lower North,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/104
105,39.94264303,-75.1592511,1016-18 South St,Philadelphia,PA,19147,Engine 11 Fire Station,,Yes,Hawthorne,Central,African American Historic Site,,1902,circa,Philip Johnson,,,,,http://pagp.webfactional.com/static/media/photos/1016-18SouthSt.jpg,http://www.preservephiladelphia.org/historic-resources/105
106,40.02832216,-75.17514708,230 W Coulter St,Philadelphia,PA,19144,Enon Tabernacle Baptist Church,Enon Tabernacle Baptist Church (West),Yes,"Germantown, Westside",Upper Northwest,"African American Historic Site, Historic Religious Sites",,1914,,Charles H. Wilson,,,,,http://pagp.webfactional.com/static/media/photos/230WCoulterSt.jpg,http://www.preservephiladelphia.org/historic-resources/106
107,40.033056,-75.170748,5 W Coulter St,Philadelphia,PA,19144,Enon Tabernacle Baptist Church Site,,No,"Germantown, Penn Knox",Upper Northwest,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/107
108,39.98982121,-75.1292086,100 E Lehigh Ave,Philadelphia,PA,19125,Temple University Hospital Episcopal Campus,Episcopal Hospital,Yes,"Kensington, West",Lower North,African American Historic Site,,1933,circa,"Horace Trumbauer, Julian Abele",1976,,,,,http://www.preservephiladelphia.org/historic-resources/108
109,39.99677968,-75.14606535,2901 Germantown Ave,Philadelphia,PA,19133,Fair Hill Burial Ground,,Yes,Hartranft,North,African American Historic Site,,1842,,,1961,1998,,,,http://www.preservephiladelphia.org/historic-resources/109
110,39.9682132,-75.16147605,1431 Brown St,Philadelphia,PA,19130,Fellowship House,,,Francisville,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/110
111,39.952652,-75.148436,107 N 05th St,Philadelphia,PA,19106,Female Anti-Slavery Society,,,Old City,Central,African American Historic Site,,,,,,,,,,http://www.preservephiladelphia.org/historic-resources/111
112,39.96367246,-75.16797281,1801 Spring Garden St,Philadelphia,PA,19130,Brandywine Fifth Baptist Church,Highway Tabernacle Church,Yes,Spring Garden,Central,"African American Historic Site, Historic Religious Sites",1859,1864,,Julian Abele,,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/112
113,39.94020956,-75.16985456,1600 Christian St,Philadelphia,PA,19146,First African Baptist Church,,Yes,Graduate Hospital,Central,"African American Historic Site, Historic Religious Sites, Pride of Place Neighborhood Landmarks",,1904,,Watson & Huckel,,,,,,http://www.preservephiladelphia.org/historic-resources/113
114,39.957352,-75.15221,08th St and Vine St,Philadelphia,PA,19106,First African Baptist Church Cemetery,,,Callowhill,Central,African American Historic Site,,1796,,,,,,,,http://www.preservephiladelphia.org/historic-resources/114
